customer_id_pref,geolocation_id_pref
CUS001,GEO5359
CUS002,GEO4280
CUS003,GEO085
CUS004,GEO4029
CUS005,GEO4836
CUS006,GEO17683
CUS007,GEO2093
CUS008,GEO8593
CUS009,GEO16304
CUS010,GEO8123
CUS011,GEO9720
CUS012,GEO6375
CUS013,GEO6172
CUS014,GEO2911
CUS015,GEO18305
CUS016,GEO5041
CUS017,GEO6655
CUS018,GEO3511
CUS019,GEO2701
CUS020,GEO13778
CUS021,GEO17274
CUS022,GEO15007
CUS023,GEO2919
CUS024,GEO16374
CUS025,GEO3799
CUS026,GEO4066
CUS027,GEO14813
CUS028,GEO2126
CUS029,GEO7912
CUS030,GEO2781
CUS031,GEO4605
CUS032,GEO6036
CUS033,GEO10222
CUS034,GEO7506
CUS035,GEO16316
CUS036,GEO4896
CUS037,GEO3535
CUS038,GEO18123
CUS039,GEO13330
CUS040,GEO17307
CUS041,GEO3541
CUS042,GEO8886
CUS043,GEO2928
CUS044,GEO3469
CUS045,GEO5274
CUS046,GEO8086
CUS047,GEO9520
CUS048,GEO6192
CUS049,GEO16404
CUS050,GEO17683
CUS051,GEO2654
CUS052,GEO9726
CUS053,GEO5443
CUS054,GEO6477
CUS055,GEO6814
CUS056,GEO16160
CUS057,GEO2440
CUS058,GEO15176
CUS059,GEO16779
CUS060,GEO12445
CUS061,GEO14525
CUS062,GEO349
CUS063,GEO18499
CUS064,GEO17887
CUS065,GEO6622
CUS066,GEO4992
CUS067,GEO8071
CUS068,GEO4921
CUS069,GEO7908
CUS070,GEO4623
CUS071,GEO12475
CUS072,GEO4383
CUS073,GEO9543
CUS074,GEO9393
CUS075,GEO6872
CUS076,GEO3055
CUS077,GEO1516
CUS078,GEO16512
CUS079,GEO4391
CUS080,GEO7300
CUS081,GEO2700
CUS082,GEO12373
CUS083,GEO2104
CUS084,GEO7570
CUS085,GEO5128
CUS086,GEO410
CUS087,GEO9314
CUS088,GEO17938
CUS089,GEO4317
CUS090,GEO4990
CUS091,GEO10344
CUS092,GEO7529
CUS093,GEO10277
CUS094,GEO2096
CUS095,GEO14375
CUS096,GEO5124
CUS097,GEO2807
CUS098,GEO1434
CUS099,GEO6831
CUS100,GEO13314
CUS101,GEO904
CUS102,GEO1751
CUS103,GEO17689
CUS104,GEO12682
CUS105,GEO8729
CUS106,GEO4007
CUS107,GEO14444
CUS108,GEO2402
CUS109,GEO431
CUS110,GEO7128
CUS111,GEO11235
CUS112,GEO2220
CUS113,GEO3187
CUS114,GEO707
CUS115,GEO18432
CUS116,GEO706
CUS117,GEO9115
CUS118,GEO16229
CUS119,GEO8138
CUS120,GEO17076
CUS121,GEO3871
CUS122,GEO5471
CUS123,GEO7702
CUS124,GEO8286
CUS125,GEO9545
CUS126,GEO16999
