customer_simple_id,zip_code_prefix,customer_city,customer_state,simple_id
CUS001,14409,franca,SP,1
CUS002,9790,sao bernardo do campo,SP,2
CUS003,1151,sao paulo,SP,3
CUS004,8775,mogi das cruzes,SP,4
CUS005,13056,campinas,SP,5
CUS006,89254,jaragua do sul,SC,6
CUS007,4534,sao paulo,SP,7
CUS008,35182,timoteo,MG,8
CUS009,81560,curitiba,PR,9
CUS010,30575,belo horizonte,MG,10
CUS011,39400,montes claros,MG,11
CUS012,20231,rio de janeiro,RJ,12
CUS013,18682,lencois paulista,SP,13
CUS014,5704,sao paulo,SP,14
CUS015,95110,caxias do sul,RS,15
CUS016,13412,piracicaba,SP,16
CUS017,22750,rio de janeiro,RJ,17
CUS018,7124,guarulhos,SP,18
CUS019,5416,sao paulo,SP,19
CUS020,68485,pacaja,PA,20
CUS021,88034,florianopolis,SC,21
CUS022,74914,aparecida de goiania,GO,22
CUS023,5713,sao paulo,SP,23
CUS024,82820,curitiba,PR,24
CUS025,8225,sao paulo,SP,25
CUS026,9121,santo andre,SP,26
CUS027,74310,goiania,GO,27
CUS028,4571,sao paulo,SP,28
CUS029,29311,cachoeiro de itapemirim,ES,29
CUS030,5528,sao paulo,SP,30
CUS031,12235,sao jose dos campos,SP,31
CUS032,18130,sao roque,SP,32
CUS033,42800,camacari,BA,33
CUS034,27525,resende,RJ,34
CUS035,81750,curitiba,PR,35
CUS036,13175,sumare,SP,36
CUS037,7170,guarulhos,SP,37
CUS038,93415,novo hamburgo,RS,38
CUS039,65075,sao luis,MA,39
CUS040,88104,sao jose,SC,40
CUS041,7176,guarulhos,SP,41
CUS042,35960,santa barbara,MG,42
CUS043,5727,sao paulo,SP,43
CUS044,7053,guarulhos,SP,44
CUS045,14026,ribeirao preto,SP,45
CUS046,30320,belo horizonte,MG,46
CUS047,38300,ituiutaba,MG,47
CUS048,18740,taquarituba,SP,48
CUS049,83085,sao jose dos pinhais,PR,49
CUS050,89254,jaragua do sul,SC,50
CUS051,5351,sao paulo,SP,51
CUS052,39406,montes claros,MG,52
CUS053,14860,barrinha,SP,53
CUS054,21310,rio de janeiro,RJ,54
CUS055,23970,parati,RJ,55
CUS056,79804,dourados,MS,56
CUS057,5017,sao paulo,SP,57
CUS058,75388,trindade,GO,58
CUS059,85808,cascavel,PR,59
CUS060,60140,fortaleza,CE,60
CUS061,72270,brasilia,DF,61
CUS062,2075,sao paulo,SP,62
CUS063,96015,pelotas,RS,63
CUS064,90010,porto alegre,RS,64
CUS065,22440,rio de janeiro,RJ,65
CUS066,13323,salto,SP,66
CUS067,30190,belo horizonte,MG,67
CUS068,13212,jundiai,SP,68
CUS069,29307,cachoeiro de itapemirim,ES,69
CUS070,12280,cacapava,SP,70
CUS071,60336,fortaleza,CE,71
CUS072,11310,sao vicente,SP,72
CUS073,38408,uberlandia,MG,73
CUS074,37720,botelhos,MG,74
CUS075,24431,sao goncalo,RJ,75
CUS076,5890,sao paulo,SP,76
CUS077,3733,sao paulo,SP,77
CUS078,83709,araucaria,PR,78
CUS079,11347,sao vicente,SP,79
CUS080,26272,nova iguacu,RJ,80
CUS081,5415,sao paulo,SP,81
CUS082,59655,areia branca,RN,82
CUS083,4548,sao paulo,SP,83
CUS084,28010,campos dos goytacazes,RJ,84
CUS085,13573,sao carlos,SP,85
CUS086,2175,sao paulo,SP,86
CUS087,37500,itajuba,MG,87
CUS088,90670,porto alegre,RS,88
CUS089,9890,sao bernardo do campo,SP,89
CUS090,13321,salto,SP,90
CUS091,44380,cruz das almas,BA,91
CUS092,27700,vassouras,RJ,92
CUS093,44033,feira de santana,BA,93
CUS094,4537,sao paulo,SP,94
CUS095,71540,brasilia,DF,95
CUS096,13569,sao carlos,SP,96
CUS097,5565,sao paulo,SP,97
CUS098,3636,sao paulo,SP,98
CUS099,24120,niteroi,RJ,99
CUS100,65058,sao luis,MA,100
CUS101,2983,sao paulo,SP,101
CUS102,4105,sao paulo,SP,102
CUS103,89260,jaragua do sul,SC,103
CUS104,62016,sobral,CE,104
CUS105,35500,divinopolis,MG,105
CUS106,8743,mogi das cruzes,SP,106
CUS107,71928,brasilia,DF,107
CUS108,4938,sao paulo,SP,108
CUS109,2209,sao paulo,SP,109
CUS110,25850,paraiba do sul,RJ,110
CUS111,53437,paulista,PE,111
CUS112,4710,sao paulo,SP,112
CUS113,6382,carapicuiba,SP,113
CUS114,2632,sao paulo,SP,114
CUS115,95765,bom principio,RS,115
CUS116,2631,sao paulo,SP,116
CUS117,36780,astolfo dutra,MG,117
CUS118,80050,curitiba,PR,118
CUS119,30664,belo horizonte,MG,119
CUS120,86990,marialva,PR,120
CUS121,8490,sao paulo,SP,121
CUS122,15015,sao jose do rio preto,SP,122
CUS123,28909,cabo frio,RJ,123
CUS124,32140,contagem,MG,124
CUS125,38410,uberlandia,MG,125
