orderpayment_id_pref,order_id_pref,payment_sequential,payment_type,payment_installments,payment_value
PAY001,ORD75269,1,credit_card,8,99.33
PAY002,ORD98161,1,credit_card,1,24.39
PAY003,ORD43930,1,credit_card,1,65.71
PAY004,ORD64933,1,credit_card,8,107.78
PAY005,ORD12703,1,credit_card,2,128.45
PAY006,ORD9432,1,credit_card,2,96.12
PAY007,ORD77993,1,credit_card,1,81.16
PAY008,ORD57204,1,credit_card,3,51.84
PAY009,ORD90162,1,credit_card,6,341.09
PAY010,ORD26050,1,boleto,1,51.95
PAY011,ORD42221,1,credit_card,8,188.73
PAY012,ORD51143,1,credit_card,1,141.9
PAY013,ORD54659,1,credit_card,1,75.78
PAY014,ORD15599,1,credit_card,5,102.66
PAY015,ORD21639,1,credit_card,4,105.28
PAY016,ORD16687,1,credit_card,10,157.45
PAY017,ORD7849,1,credit_card,1,132.04
PAY018,ORD10267,1,credit_card,1,98.94
PAY019,ORD56185,1,credit_card,4,244.15
PAY020,ORD32919,1,credit_card,3,136.71
PAY021,ORD89803,1,credit_card,4,47.69
PAY022,ORD76166,1,credit_card,2,170.57
PAY023,ORD85633,1,credit_card,4,67.5
PAY024,ORD80063,1,credit_card,10,353.09
PAY025,ORD49021,1,boleto,1,330.66
PAY026,ORD55503,2,voucher,1,45.17
PAY027,ORD24866,1,credit_card,2,541.0
PAY028,ORD74397,1,credit_card,2,139.22
PAY029,ORD35697,1,credit_card,2,290.16
PAY030,ORD4167,1,boleto,1,283.34
PAY031,ORD64398,1,credit_card,1,13.78
PAY032,ORD75959,1,credit_card,1,30.28
PAY033,ORD1233,1,credit_card,1,26.58
PAY034,ORD66612,1,credit_card,1,89.68
PAY035,ORD45876,1,credit_card,1,65.09
PAY036,ORD83139,1,credit_card,1,173.84
PAY037,ORD97577,1,credit_card,1,103.49
PAY038,ORD50127,1,credit_card,1,64.03
PAY039,ORD85299,1,credit_card,3,157.15
PAY040,ORD98019,1,boleto,1,130.88
PAY041,ORD32173,1,credit_card,2,47.72
PAY042,ORD90526,1,credit_card,8,117.74
PAY043,ORD91879,1,boleto,1,56.6
PAY044,ORD67308,1,credit_card,1,266.16
PAY045,ORD51040,1,boleto,1,31.38
PAY046,ORD81326,1,credit_card,1,121.49
PAY047,ORD32724,1,credit_card,1,32.0
PAY048,ORD29092,1,credit_card,5,153.41
PAY049,ORD44657,1,credit_card,5,65.71
PAY050,ORD7712,1,credit_card,4,278.22
PAY051,ORD64914,1,credit_card,4,91.66
PAY052,ORD71994,1,credit_card,1,132.51
PAY053,ORD53456,1,credit_card,4,542.66
PAY054,ORD8963,1,boleto,1,166.04
PAY055,ORD81603,1,boleto,1,368.98
PAY056,ORD77241,1,credit_card,2,113.2
PAY057,ORD7668,1,credit_card,3,99.43
PAY058,ORD8743,1,credit_card,2,27.35
PAY059,ORD5809,1,credit_card,4,43.77
PAY060,ORD63871,1,credit_card,2,68.49
PAY061,ORD81025,1,credit_card,2,105.53
PAY062,ORD98917,1,credit_card,8,387.8
PAY063,ORD14430,1,boleto,1,84.14
PAY064,ORD19638,1,credit_card,4,210.82
PAY065,ORD40351,1,boleto,1,90.05
PAY066,ORD36665,1,credit_card,1,67.88
PAY067,ORD34163,1,credit_card,2,37.58
PAY068,ORD93677,1,boleto,1,89.63
PAY069,ORD10457,1,voucher,1,69.46
PAY070,ORD90787,1,credit_card,2,78.3
PAY071,ORD40583,1,voucher,1,50.8
PAY072,ORD23682,1,credit_card,1,34.0
PAY073,ORD18965,1,boleto,1,77.1
PAY074,ORD78700,1,credit_card,5,566.4
PAY075,ORD73721,1,credit_card,8,402.42
PAY076,ORD70589,2,voucher,1,57.53
PAY077,ORD98468,1,credit_card,3,44.01
PAY078,ORD75047,1,credit_card,3,187.51
PAY079,ORD16165,1,credit_card,3,77.7
PAY080,ORD45150,1,credit_card,1,48.68
PAY081,ORD56560,1,credit_card,1,77.29
PAY082,ORD45545,1,credit_card,8,117.71
PAY083,ORD91944,1,credit_card,3,169.34
