product_id_pref;product_category_name;product_name_lenght;product_description_lenght;product_photos_qty;product_weight_g;product_length_cm;product_height_cm;product_width_cm
PRO001;perfumaria;40,0;287,0;1,0;225,0;16,0;10,0;14,0
PRO002;artes;44,0;276,0;1,0;1000,0;30,0;18,0;20,0
PRO003;esporte_lazer;46,0;250,0;1,0;154,0;18,0;9,0;15,0
PRO004;bebes;27,0;261,0;1,0;371,0;26,0;4,0;26,0
PRO005;utilidades_domesticas;37,0;402,0;4,0;625,0;20,0;17,0;13,0
PRO006;instrumentos_musicais;60,0;745,0;1,0;200,0;38,0;5,0;11,0
PRO007;cool_stuff;56,0;1272,0;4,0;18350,0;70,0;24,0;44,0
PRO008;moveis_decoracao;56,0;184,0;2,0;900,0;40,0;8,0;40,0
PRO009;eletrodomesticos;57,0;163,0;1,0;400,0;27,0;13,0;17,0
PRO010;brinquedos;36,0;1156,0;1,0;600,0;17,0;10,0;12,0
PRO011;cama_mesa_banho;54,0;630,0;1,0;1100,0;16,0;10,0;16,0
PRO012;bebes;49,0;728,0;4,0;7150,0;50,0;19,0;45,0
PRO013;instrumentos_musicais;43,0;1827,0;3,0;250,0;17,0;7,0;17,0
PRO014;moveis_decoracao;51,0;2083,0;2,0;600,0;68,0;11,0;13,0
PRO015;construcao_ferramentas_seguranca;59,0;1602,0;4,0;200,0;17,0;7,0;17,0
PRO016;esporte_lazer;22,0;3021,0;1,0;800,0;16,0;2,0;11,0
PRO017;perfumaria;39,0;346,0;2,0;400,0;27,0;5,0;20,0
PRO018;informatica_acessorios;59,0;636,0;1,0;900,0;40,0;15,0;20,0
PRO019;moveis_decoracao;56,0;296,0;2,0;1700,0;100,0;7,0;15,0
PRO020;cama_mesa_banho;52,0;206,0;1,0;500,0;16,0;10,0;16,0
PRO021;moveis_decoracao;27,0;158,0;4,0;2550,0;29,0;24,0;45,0
PRO022;cama_mesa_banho;27,0;329,0;2,0;800,0;36,0;8,0;16,0
PRO023;beleza_saude;58,0;1987,0;3,0;75,0;21,0;7,0;13,0
PRO024;bebes;55,0;1627,0;1,0;500,0;20,0;13,0;13,0
PRO025;moveis_decoracao;56,0;209,0;1,0;1800,0;40,0;10,0;30,0
PRO026;utilidades_domesticas;52,0;968,0;1,0;900,0;50,0;5,0;50,0
PRO027;malas_acessorios;52,0;573,0;5,0;3600,0;35,0;25,0;50,0
PRO028;informatica_acessorios;35,0;1101,0;2,0;300,0;42,0;2,0;30,0
PRO029;informatica_acessorios;59,0;1890,0;2,0;740,0;23,0;13,0;13,0
PRO030;esporte_lazer;50,0;529,0;2,0;3600,0;62,0;23,0;23,0
PRO031;cama_mesa_banho;45,0;206,0;1,0;650,0;16,0;10,0;16,0
PRO032;ferramentas_jardim;49,0;1163,0;9,0;2150,0;70,0;8,0;34,0
PRO033;moveis_decoracao;60,0;208,0;1,0;800,0;40,0;10,0;34,0
PRO034;moveis_escritorio;57,0;476,0;1,0;8950,0;52,0;51,0;17,0
PRO035;esporte_lazer;50,0;699,0;4,0;1388,0;34,0;9,0;31,0
PRO036;bebes;52,0;708,0;9,0;7950,0;33,0;30,0;44,0
PRO037;automotivo;43,0;1062,0;2,0;6000,0;87,0;3,0;42,0
PRO038;eletronicos;31,0;806,0;1,0;263,0;18,0;12,0;16,0
PRO039;utilidades_domesticas;37,0;352,0;1,0;3900,0;19,0;20,0;15,0
PRO040;moveis_decoracao;47,0;502,0;1,0;600,0;25,0;25,0;25,0
PRO041;moveis_decoracao;63,0;254,0;2,0;2050,0;49,0;13,0;41,0
PRO042;brinquedos;33,0;471,0;2,0;725,0;22,0;17,0;15,0
PRO043;cama_mesa_banho;56,0;509,0;4,0;6350,0;45,0;15,0;35,0
PRO044;bebes;47,0;980,0;4,0;600,0;70,0;11,0;11,0
PRO045;cool_stuff;38,0;1701,0;2,0;11750,0;18,0;40,0;79,0
PRO046;brinquedos;20,0;866,0;3,0;2550,0;22,0;32,0;38,0
PRO047;cool_stuff;38,0;1176,0;3,0;15350,0;47,0;40,0;47,0
PRO048;moveis_decoracao;42,0;303,0;2,0;1300,0;25,0;16,0;25,0
PRO049;moveis_decoracao;60,0;1972,0;2,0;850,0;69,0;11,0;11,0
PRO050;beleza_saude;60,0;330,0;1,0;1300,0;19,0;28,0;17,0
PRO051;esporte_lazer;53,0;3218,0;5,0;4800,0;60,0;30,0;15,0
PRO052;cool_stuff;55,0;410,0;2,0;1300,0;36,0;16,0;24,0
PRO053;automotivo;57,0;311,0;1,0;220,0;18,0;14,0;17,0
PRO054;bebes;50,0;509,0;4,0;5700,0;41,0;17,0;49,0
PRO055;malas_acessorios;53,0;1291,0;2,0;450,0;20,0;40,0;30,0
PRO056;fashion_calcados;60,0;402,0;2,0;2000,0;32,0;12,0;37,0
PRO057;telefonia;51,0;427,0;2,0;100,0;19,0;3,0;11,0
PRO058;cool_stuff;58,0;1252,0;1,0;1100,0;30,0;20,0;23,0
PRO059;papelaria;49,0;488,0;3,0;1400,0;38,0;40,0;39,0
PRO060;brinquedos;50,0;423,0;4,0;250,0;20,0;14,0;12,0
PRO061;esporte_lazer;47,0;956,0;1,0;1050,0;25,0;20,0;14,0
PRO062;papelaria;59,0;144,0;1,0;500,0;24,0;7,0;16,0
PRO063;beleza_saude;51,0;1069,0;1,0;1467,0;23,0;16,0;20,0
PRO064;fashion_bolsas_e_acessorios;50,0;554,0;3,0;100,0;16,0;5,0;11,0
PRO065;papelaria;41,0;92,0;1,0;100,0;16,0;5,0;16,0
PRO066;papelaria;43,0;198,0;2,0;300,0;23,0;7,0;15,0
PRO067;esporte_lazer;50,0;255,0;2,0;950,0;60,0;15,0;15,0
PRO068;ferramentas_jardim;33,0;200,0;1,0;250,0;17,0;3,0;11,0
PRO069;pcs;55,0;1067,0;1,0;12000,0;27,0;50,0;53,0
PRO070;automotivo;60,0;1543,0;6,0;921,0;17,0;9,0;16,0
PRO071;casa_construcao;55,0;1441,0;1,0;10000,0;60,0;25,0;25,0
PRO072;relogios_presentes;56,0;489,0;2,0;250,0;16,0;11,0;11,0
PRO073;cool_stuff;57,0;992,0;3,0;1200,0;44,0;20,0;20,0
PRO074;construcao_ferramentas_construcao;54,0;339,0;1,0;4800,0;25,0;8,0;25,0
PRO075;pet_shop;54,0;463,0;1,0;700,0;40,0;20,0;20,0
PRO076;beleza_saude;40,0;1469,0;3,0;1050,0;18,0;21,0;27,0
PRO077;eletroportateis;58,0;587,0;3,0;350,0;20,0;20,0;20,0
PRO078;perfumaria;52,0;150,0;1,0;422,0;21,0;16,0;18,0
PRO079;relogios_presentes;51,0;484,0;1,0;317,0;19,0;13,0;16,0
PRO080;agro_industria_e_comercio;39,0;430,0;1,0;16400,0;63,0;66,0;56,0
PRO081;beleza_saude;22,0;1313,0;1,0;938,0;29,0;22,0;23,0
PRO082;beleza_saude;37,0;1168,0;1,0;2700,0;21,0;16,0;31,0
PRO083;cama_mesa_banho;39,0;1146,0;1,0;1750,0;30,0;18,0;30,0
PRO084;ferramentas_jardim;42,0;671,0;1,0;3850,0;29,0;12,0;24,0
PRO085;perfumaria;49,0;460,0;2,0;267,0;17,0;13,0;17,0
PRO086;instrumentos_musicais;59,0;2367,0;3,0;16200,0;55,0;40,0;40,0
PRO087;cama_mesa_banho;54,0;381,0;2,0;1400,0;38,0;9,0;27,0
PRO088;cama_mesa_banho;50,0;607,0;1,0;6450,0;100,0;10,0;11,0
PRO089;moveis_decoracao;59,0;1750,0;3,0;2300,0;105,0;3,0;70,0
PRO090;informatica_acessorios;55,0;163,0;2,0;300,0;25,0;8,0;18,0
PRO091;esporte_lazer;43,0;101,0;1,0;600,0;50,0;10,0;12,0
PRO092;beleza_saude;60,0;2497,0;1,0;3600,0;20,0;20,0;20,0
PRO093;beleza_saude;60,0;1146,0;6,0;150,0;20,0;24,0;33,0
PRO094;esporte_lazer;57,0;900,0;4,0;400,0;16,0;4,0;11,0
PRO095;telefonia;49,0;319,0;1,0;100,0;18,0;6,0;11,0
PRO096;moveis_decoracao;55,0;1186,0;2,0;800,0;53,0;8,0;20,0
PRO097;automotivo;58,0;703,0;6,0;5250,0;47,0;19,0;23,0
PRO098;automotivo;50,0;361,0;1,0;200,0;35,0;4,0;26,0
PRO099;relogios_presentes;58,0;899,0;2,0;335,0;17,0;11,0;12,0
PRO100;cama_mesa_banho;49,0;701,0;1,0;1300,0;50,0;12,0;12,0
PRO101;moveis_decoracao;47,0;1405,0;3,0;150,0;35,0;2,0;25,0
PRO102;informatica_acessorios;59,0;504,0;3,0;367,0;16,0;4,0;11,0
PRO103;relogios_presentes;57,0;276,0;4,0;250,0;16,0;2,0;11,0
PRO104;moveis_decoracao;46,0;287,0;1,0;8500,0;75,0;25,0;55,0
PRO105;bebes;46,0;1039,0;1,0;2150,0;42,0;25,0;15,0
PRO106;;;;;650,0;17,0;14,0;12,0
PRO107;esporte_lazer;56,0;663,0;4,0;150,0;16,0;5,0;11,0
PRO108;cama_mesa_banho;39,0;170,0;1,0;650,0;27,0;10,0;22,0
PRO109;eletroportateis;53,0;794,0;4,0;2700,0;20,0;26,0;32,0
PRO110;utilidades_domesticas;56,0;414,0;1,0;1200,0;23,0;22,0;16,0
PRO111;moveis_sala;36,0;312,0;2,0;6050,0;55,0;10,0;46,0
PRO112;esporte_lazer;53,0;425,0;1,0;150,0;16,0;6,0;11,0
PRO113;casa_construcao;58,0;918,0;6,0;1050,0;16,0;20,0;16,0
PRO114;pet_shop;36,0;617,0;1,0;1350,0;23,0;7,0;30,0
PRO115;utilidades_domesticas;41,0;270,0;1,0;600,0;36,0;6,0;19,0
PRO116;moveis_decoracao;22,0;275,0;1,0;1000,0;30,0;18,0;18,0
PRO117;cama_mesa_banho;58,0;381,0;2,0;1550,0;43,0;8,0;33,0
PRO118;cama_mesa_banho;58,0;223,0;1,0;2700,0;45,0;13,0;35,0
PRO119;telefonia;63,0;1930,0;9,0;200,0;19,0;5,0;11,0
PRO120;malas_acessorios;51,0;244,0;1,0;800,0;38,0;8,0;28,0
PRO121;perfumaria;56,0;733,0;3,0;377,0;18,0;13,0;15,0
PRO122;esporte_lazer;52,0;1049,0;3,0;400,0;45,0;22,0;43,0
PRO123;sinalizacao_e_seguranca;51,0;1212,0;1,0;450,0;16,0;5,0;16,0
PRO124;climatizacao;30,0;547,0;1,0;2000,0;32,0;51,0;16,0
PRO125;fashion_bolsas_e_acessorios;53,0;1398,0;1,0;300,0;16,0;2,0;11,0
PRO126;moveis_decoracao;34,0;160,0;1,0;250,0;26,0;14,0;14,0
PRO127;esporte_lazer;57,0;245,0;2,0;1950,0;60,0;15,0;15,0
PRO128;telefonia;50,0;1254,0;2,0;500,0;16,0;15,0;11,0
PRO129;;;;;300,0;16,0;7,0;20,0
PRO130;artes;59,0;1431,0;6,0;7900,0;70,0;15,0;70,0
PRO131;cama_mesa_banho;53,0;261,0;2,0;1800,0;41,0;9,0;34,0
PRO132;ferramentas_jardim;60,0;884,0;1,0;900,0;37,0;3,0;23,0
PRO133;fashion_bolsas_e_acessorios;52,0;68,0;7,0;200,0;16,0;2,0;11,0
PRO134;bebes;30,0;410,0;4,0;4500,0;80,0;70,0;28,0
PRO135;consoles_games;48,0;303,0;3,0;250,0;21,0;7,0;15,0
PRO136;utilidades_domesticas;59,0;943,0;1,0;550,0;16,0;25,0;12,0
PRO137;malas_acessorios;49,0;540,0;4,0;1100,0;39,0;12,0;28,0
PRO138;cama_mesa_banho;53,0;222,0;1,0;3600,0;40,0;20,0;40,0
PRO139;consoles_games;56,0;235,0;1,0;100,0;16,0;3,0;11,0
PRO140;esporte_lazer;50,0;329,0;2,0;150,0;16,0;18,0;16,0
PRO141;esporte_lazer;55,0;144,0;1,0;3775,0;18,0;13,0;16,0
PRO142;cool_stuff;59,0;797,0;2,0;1400,0;25,0;20,0;20,0
PRO143;consoles_games;53,0;439,0;5,0;900,0;22,0;7,0;18,0
PRO144;relogios_presentes;60,0;438,0;2,0;250,0;20,0;12,0;20,0
PRO145;brinquedos;55,0;852,0;1,0;350,0;21,0;9,0;16,0
PRO146;;;;;200,0;20,0;20,0;20,0
PRO147;bebes;39,0;805,0;3,0;1800,0;18,0;32,0;27,0
PRO148;moveis_sala;52,0;420,0;2,0;5050,0;50,0;8,0;50,0
