seller_simple_id,zip_code_prefix,seller_city,seller_state,simple_id
SEL001,13023,campinas,SP,1
SEL002,13844,mogi guacu,SP,2
SEL003,20031,rio de janeiro,RJ,3
SEL004,4195,sao paulo,SP,4
SEL005,12914,braganca paulista,SP,5
SEL006,20920,rio de janeiro,RJ,6
SEL007,55325,brejao,PE,7
SEL008,16304,penapolis,SP,8
SEL009,1529,sao paulo,SP,9
SEL010,80310,curitiba,PR,10
SEL011,75110,anapolis,GO,11
SEL012,13530,itirapina,SP,12
SEL013,1222,sao paulo,SP,13
SEL014,5372,sao paulo,SP,14
SEL015,88705,tubarao,SC,15
SEL016,42738,lauro de freitas,BA,16
SEL017,88780,imbituba,SC,17
SEL018,70740,brasilia,DF,18
SEL019,45810,porto seguro,BA,19
SEL020,5138,sao paulo,SP,20
SEL021,11440,guaruja,SP,21
SEL022,14910,tabatinga,SP,22
SEL023,4156,sao paulo,SP,23
SEL024,13320,salto,SP,24
SEL025,98910,tres de maio,RS,25
SEL026,30494,belo horizonte,MG,26
SEL027,86707,arapongas,PR,27
SEL028,9850,sao bernardo do campo,SP,28
SEL029,4857,sao paulo,SP,29
SEL030,18500,tatui,SP,30
SEL031,80210,curitiba,PR,31
SEL032,2261,sao paulo,SP,32
SEL033,88495,garopaba,SC,33
SEL034,3562,sao paulo,SP,34
SEL035,37650,camanducaia,MG,35
SEL036,17602,tupa,SP,36
SEL037,7241,guarulhos,SP,37
SEL038,83050,sao jose dos pinhais,PR,38
SEL039,3445,sao paulo,SP,39
SEL040,4133,sao paulo,SP,40
SEL041,72233,brasilia,DF,41
SEL042,70645,brasilia,DF,42
SEL043,88730,sao ludgero,SC,43
SEL044,88075,sao jose,SC,44
SEL045,13416,piracicaba,SP,45
SEL046,90850,porto alegre,RS,46
SEL047,37584,congonhal,MG,47
SEL048,31950,belo horizonte,MG,48
SEL049,31555,belo horizonte,MG,49
SEL050,9251,santo andre,SP,50
SEL051,4705,sao paulo,SP,51
SEL052,6144,osasco,SP,52
SEL053,13270,valinhos,SP,53
SEL054,89214,joinville,SC,54
SEL055,11446,guaruja,SP,55
SEL056,28990,saquarema,RJ,56
SEL057,88390,barra velha,SC,57
SEL058,25730,petropolis,RJ,58
SEL059,95500,santo antonio da patrulha,RS,59
SEL060,84010,ponta grossa,PR,60
SEL061,6544,santana de parnaiba,SP,61
SEL062,9121,santo andre,SP,62
SEL063,13568,sao carlos,SP,63
SEL064,6056,osasco,SP,64
SEL065,14940,ibitinga,SP,65
SEL066,5741,sao paulo,SP,66
SEL067,83010,sao jose dos pinhais,PR,67
